nombres_productos,categorias,precios,imagenes,url
Salmón Noruego Entero X Kilogramo ,PESCA DEL DIA,$ 68.000                          ,https://hipermarfish.com/public/images/productos/QMRF032620220215_400.jpg,https://hipermarfish.com/market/productos/pesca-del-dia
Bagre Rayado Entero X Kilogramo ,PESCA DEL DIA,$ 26.000                          ,https://hipermarfish.com/public/images/productos/ZWGY042320210314_400.jpg,https://hipermarfish.com/market/productos/pesca-del-dia
Trucha Entera Fresca X Kilogramo ,PESCA DEL DIA,$ 25.000                          ,https://hipermarfish.com/public/images/productos/ZFGX011420210106_400.jpg,https://hipermarfish.com/market/productos/pesca-del-dia
Cherna Entera X Kilogramo ,PESCA DEL DIA,$ 35.000                          ,https://hipermarfish.com/public/images/productos/OMXG071620200507_400.jpg,https://hipermarfish.com/market/productos/pesca-del-dia
Róbalo Entero Fresco X Kilogramo ,PESCA DEL DIA,$ 49.000                          ,https://hipermarfish.com/public/images/productos/B5A3533_400.jpg,https://hipermarfish.com/market/productos/pesca-del-dia
Atún / Tuna Steak Fresco X Kilogramo ,PESCA DEL DIA,$ 65.000                          ,https://hipermarfish.com/public/images/productos/B5A3519_400.jpg,https://hipermarfish.com/market/productos/pesca-del-dia
Corvina Fresca Entera X Kilogramo ,PESCA DEL DIA,$ 31.000                          ,https://hipermarfish.com/public/images/productos/TDJR071620200454_400.jpg,https://hipermarfish.com/market/productos/pesca-del-dia
Mero Fresco Entero X Kilogramo ,PESCA DEL DIA,$ 35.000                          ,https://hipermarfish.com/public/images/productos/EFYN071620200455_400.jpg,https://hipermarfish.com/market/productos/pesca-del-dia
Filete de Corvina Fresca X Kilogramo ,PESCA DEL DIA,$ 80.000                          ,https://hipermarfish.com/public/images/productos/APCS041420200436_400.jpg,https://hipermarfish.com/market/productos/pesca-del-dia
Filete de Tilapia Fresca Nacional X Kilogramo ,PESCA DEL DIA,$ 28.400                          ,https://hipermarfish.com/public/images/productos/VSPD042420200359_400.jpg,https://hipermarfish.com/market/productos/pesca-del-dia
Filete de Róbalo Fresco X Kilogramo ,PESCA DEL DIA,$ 65.000                          ,https://hipermarfish.com/public/images/productos/WRAK111520220334_400.jpg,https://hipermarfish.com/market/productos/pesca-del-dia
Lomo de Salmón Noruego X Kilogramo ,FILETES Y LOMOS,$ 100.000                          ,https://hipermarfish.com/public/images/productos/B5A3098_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Filete de Salmón Noruego Fresco X Kilogramo ,FILETES Y LOMOS,$ 90.000                          ,https://hipermarfish.com/public/images/productos/DFHW020120200827_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Filete de Salmón Steak Noruego Fresco X Kilogramo ,FILETES Y LOMOS,$ 95.000                          ,https://hipermarfish.com/public/images/productos/FHAZ071820230440_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Carpaccio de Salmón 144 g X Unidad x 144 g ,FILETES Y LOMOS,$ 19.000                          ,https://hipermarfish.com/public/images/productos/JWEK081020230308_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Filete de Sea Bass X Kilogramo ,FILETES Y LOMOS,$ 300.000                          ,https://hipermarfish.com/public/images/productos/BEOC052520230952_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Salmon Porción X Kilogramo ,FILETES Y LOMOS,$ 70.000                          ,https://hipermarfish.com/public/images/productos/SFJZ102620230442_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Filete de Salmón Chileno Congelado X Kilogramo ,FILETES Y LOMOS,$ 75.000                          ,https://hipermarfish.com/public/images/productos/ZBFN081020230358_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Filete de Basa X Paquete x 1 kg ,FILETES Y LOMOS,$ 19.700                          ,https://hipermarfish.com/public/images/productos/YAJE102620230441_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Filete de Hamachi X Kilogramo ,FILETES Y LOMOS,$ 168.000                          ,https://hipermarfish.com/public/images/productos/NIAA081020230555_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Filete de Pargo X Kilogramo ,FILETES Y LOMOS,$ 60.000                          ,https://hipermarfish.com/public/images/productos/XJPU081020230334_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Lomo de Hamachi / Yellowtail X Kilogramo ,FILETES Y LOMOS,$ 230.000                          ,https://hipermarfish.com/public/images/productos/RCFI080320230243_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Anguila / Unagui Kabayaki X Kilogramo ,FILETES Y LOMOS,$ 104.000                          ,https://hipermarfish.com/public/images/productos/MECO020520210812_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Salmón Ahumado/Acme 113 g X Unidad x 113 g ,FILETES Y LOMOS,$ 26.600                          ,https://hipermarfish.com/public/images/productos/WJUY071120201130_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Salmón Ahumado/Acme 227 g X Unidad x 227 g ,FILETES Y LOMOS,$ 49.800                          ,https://hipermarfish.com/public/images/productos/WBLM071120201134_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Salmón Ahumado/Acme 454 g X Unidad x 454 g ,FILETES Y LOMOS,$ 91.900                          ,https://hipermarfish.com/public/images/productos/B5A3093_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Salmón Ahumado Pastrami/Acme 113 g X Unidad x 113 g ,FILETES Y LOMOS,$ 30.500                          ,https://hipermarfish.com/public/images/productos/KBIU071420200826_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Filete de Bagre X Kilogramo ,FILETES Y LOMOS,$ 17.900                          ,https://hipermarfish.com/public/images/productos/HPGB050620200843_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Filete de Tilapia 3/5 en Paquete X Paquete x 1 kg ,FILETES Y LOMOS,$ 26.900                          ,https://hipermarfish.com/public/images/productos/LOYT081020230310_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Filete de Tilapia 5/7 a Granel X Kilogramo ,FILETES Y LOMOS,$ 26.900                          ,https://hipermarfish.com/public/images/productos/QHLL022820221039_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Filete de Tilapia 7/9 a Granel X Kilogramo ,FILETES Y LOMOS,$ 26.900                          ,https://hipermarfish.com/public/images/productos/B5A3499_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Filete de Tilapia 9/11 a Granel X Kilogramo ,FILETES Y LOMOS,$ 28.000                          ,https://hipermarfish.com/public/images/productos/KANW091020200354_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Filete Blanco X Kilogramo ,FILETES Y LOMOS,$ 22.000                          ,https://hipermarfish.com/public/images/productos/FFVG020820200945_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Filete de Orange X Kilogramo x 1 kg ,FILETES Y LOMOS,$ 115.000                          ,https://hipermarfish.com/public/images/productos/SYCS042820230301_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Filete de Lenguado X Kilogramo ,FILETES Y LOMOS,$ 83.000                          ,https://hipermarfish.com/public/images/productos/KXCW081020230337_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Filete de Róbalo Nacional X Kilogramo ,FILETES Y LOMOS,$ 58.500                          ,https://hipermarfish.com/public/images/productos/B5A3524_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Lomito de Róbalo 600 g X Paquete x 600 g ,FILETES Y LOMOS,$ 9.200                          ,https://hipermarfish.com/public/images/productos/B5A3477_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Atún / Tuna Lomo X Kilogramo ,FILETES Y LOMOS,$ 58.000                          ,https://hipermarfish.com/public/images/productos/HCDF020820200950_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Atún / Tuna Steak Grande X Kilogramo ,FILETES Y LOMOS,$ 63.000                          ,https://hipermarfish.com/public/images/productos/B5A3512_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Atún en Trozos X Unidad x 500 g ,FILETES Y LOMOS,$ 30.000                          ,https://hipermarfish.com/public/images/productos/BYBD052520230914_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Trucha Deshuesada X Kilogramo ,FILETES Y LOMOS,$ 25.000                          ,https://hipermarfish.com/public/images/productos/LBFK122820190328_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Filete en Trozos x 500 g X Unidad ,FILETES Y LOMOS,$ 9.000                          ,https://hipermarfish.com/public/images/productos/B5A3515_400.jpg,https://hipermarfish.com/market/productos/filetes-y-lomos
Maletín Térmico Hipermar X Unidad ,ACCESORIOS Y UTENSILIOS,$ 140.000                          ,https://hipermarfish.com/public/images/productos/SGBQ033120220743_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
Bolsa Térmica X Unidad ,ACCESORIOS Y UTENSILIOS,$ 80.000                          ,https://hipermarfish.com/public/images/productos/ZHAM011820220931_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
Esterilla Profesional X Unidad ,ACCESORIOS Y UTENSILIOS,$ 250.000                          ,https://hipermarfish.com/public/images/productos/MQZH030220230430_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
Esterilla X Unidad ,ACCESORIOS Y UTENSILIOS,$ 4.100                          ,https://hipermarfish.com/public/images/productos/DNNZ032520230317_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
Piedra de Afilar Japonesa X Unidad ,ACCESORIOS Y UTENSILIOS,$ 200.000                          ,https://hipermarfish.com/public/images/productos/WYAS020220220149_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
Barco para Sushi 70x25 X Unidad ,ACCESORIOS Y UTENSILIOS,$ 241.500                          ,https://hipermarfish.com/public/images/productos/RHFB052820201107_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
Barco para Sushi 90x32 X Unidad ,ACCESORIOS Y UTENSILIOS,$ 240.900                          ,https://hipermarfish.com/public/images/productos/B5A3019_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
Puente para Sushi 60x25x13 X Unidad ,ACCESORIOS Y UTENSILIOS,$ 159.500                          ,https://hipermarfish.com/public/images/productos/B5A3013_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
Vaporera 12x12 X Unidad ,ACCESORIOS Y UTENSILIOS,$ 63.900                          ,https://hipermarfish.com/public/images/productos/GKSS121920191003_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
Vaporera 10x10 X Unidad ,ACCESORIOS Y UTENSILIOS,$ 55.500                          ,https://hipermarfish.com/public/images/productos/XKKW121920191002_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
Vaporera 8x8 X Unidad ,ACCESORIOS Y UTENSILIOS,$ 49.500                          ,https://hipermarfish.com/public/images/productos/ZYTC121920191000_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
Vaporera 6x6 X Unidad ,ACCESORIOS Y UTENSILIOS,$ 45.700                          ,https://hipermarfish.com/public/images/productos/PXDI121920190946_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
Pinzas para Muelas X Unidad ,ACCESORIOS Y UTENSILIOS,$ 13.500                          ,https://hipermarfish.com/public/images/productos/B5A3204_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
Escamador X Unidad ,ACCESORIOS Y UTENSILIOS,$ 19.100                          ,https://hipermarfish.com/public/images/productos/AZMT020820201008_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
Palitos Prémium x 100 Unidades X Unidad ,ACCESORIOS Y UTENSILIOS,$ 12.000                          ,https://hipermarfish.com/public/images/productos/RNAA112520200931_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
Paellera de 30 Platos X Unidad ,ACCESORIOS Y UTENSILIOS,$ 136.000                          ,https://hipermarfish.com/public/images/productos/B5A3186_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
Paellera de 25 Platos X Unidad ,ACCESORIOS Y UTENSILIOS,$ 94.000                          ,https://hipermarfish.com/public/images/productos/B5A3186_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
Paellera de 15 Platos X Unidad ,ACCESORIOS Y UTENSILIOS,$ 60.000                          ,https://hipermarfish.com/public/images/productos/LCIT082520200715_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
Paellera de 10 Platos X Unidad ,ACCESORIOS Y UTENSILIOS,$ 50.000                          ,https://hipermarfish.com/public/images/productos/HZNR082520200717_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
Paellera de 5 Platos X Unidad ,ACCESORIOS Y UTENSILIOS,$ 40.000                          ,https://hipermarfish.com/public/images/productos/OCFV082520200719_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
Paellera Personal X Unidad ,ACCESORIOS Y UTENSILIOS,$ 19.600                          ,https://hipermarfish.com/public/images/productos/B5A3186_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
"Cuchillo para Sushi 12"" X Unidad ",ACCESORIOS Y UTENSILIOS,$ 139.100                          ,https://hipermarfish.com/public/images/productos/B5A3184_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
"Cuchillo para Sushi 8"" X Unidad ",ACCESORIOS Y UTENSILIOS,$ 120.200                          ,https://hipermarfish.com/public/images/productos/B5A3184_400.jpg,https://hipermarfish.com/market/productos/accesorios-y-utensilios
Arroz para Sushi x 18.14 Kg (grano medio) X Unidad x 18.14 kg ,ARROCES Y HARINAS,$ 283.000                          ,https://hipermarfish.com/public/images/productos/B5A3539_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Arroz para Sushi California 2.26 Kg X Unidad x 2.26 kg ,ARROCES Y HARINAS,$ 30.400                          ,https://hipermarfish.com/public/images/productos/YUFM091220230250_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Arroz para Sushi California 907 g X Unidad x 907 g ,ARROCES Y HARINAS,$ 13.600                          ,https://hipermarfish.com/public/images/productos/ZMBN101520201223_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Arroz Jasmine x 22.27 Kg X Unidad x 22.27 kg ,ARROCES Y HARINAS,$ 350.000                          ,https://hipermarfish.com/public/images/productos/B5A3540_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Arroz Jasmine 2.26 Kg X Unidad x 2.26 kg ,ARROCES Y HARINAS,$ 37.400                          ,https://hipermarfish.com/public/images/productos/GDWE091220230249_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Arroz Jasmine 908 g X Unidad x 908 g ,ARROCES Y HARINAS,$ 14.200                          ,https://hipermarfish.com/public/images/productos/UOAC091220230249_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Arroz Integral Sunlee Jasmine x 2.27 Kg X Unidad x 2.27 kg ,ARROCES Y HARINAS,$ 39.300                          ,https://hipermarfish.com/public/images/productos/KUBQ121720190652_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Arroz Dulce x 2.27 Kg X Unidad x 2.27 kg ,ARROCES Y HARINAS,$ 34.000                          ,https://hipermarfish.com/public/images/productos/B5A2914_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Arroz Dulce en Bulto x 11.35 Kg X Unidad x 11.35 kg ,ARROCES Y HARINAS,$ 158.000                          ,https://hipermarfish.com/public/images/productos/NQBW062220210914_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Arroz Pepa 1 Kg X Unidad x 1 kg ,ARROCES Y HARINAS,$ 6.300                          ,https://hipermarfish.com/public/images/productos/DEJW021020220508_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Harina de Arroz Glutinoso 454 g X Unidad x 454 g ,ARROCES Y HARINAS,$ 7.500                          ,https://hipermarfish.com/public/images/productos/KSMW050620200819_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Harina de Arroz 454 g X Unidad x 454 g ,ARROCES Y HARINAS,$ 7.500                          ,https://hipermarfish.com/public/images/productos/YTRY050620200820_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Masago Arare 300 g X Unidad x 300 g ,ARROCES Y HARINAS,$ 59.000                          ,https://hipermarfish.com/public/images/productos/RIBC021020220400_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Panko Blanco en Bulto 9.08 Kg X Paquete x 9.08 kg ,ARROCES Y HARINAS,$ 152.000                          ,https://hipermarfish.com/public/images/productos/YQRX121020210244_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Panko 1 Kg X Paquete x 1 kg ,ARROCES Y HARINAS,$ 18.000                          ,https://hipermarfish.com/public/images/productos/QUOP052520230853_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Panko 500 g X Unidad x 500 g ,ARROCES Y HARINAS,$ 9.900                          ,https://hipermarfish.com/public/images/productos/KBYM052520230853_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Tempura en Bulto X Unidad ,ARROCES Y HARINAS,$ 211.000                          ,https://hipermarfish.com/public/images/productos/YFWH042720200222_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Tempura Tassya 1 Kg X Unidad x 1 kg ,ARROCES Y HARINAS,$ 24.000                          ,https://hipermarfish.com/public/images/productos/XFZP031720220833_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Rice Paper Spring 500 g X Paquete x 500 g ,ARROCES Y HARINAS,$ 13.300                          ,https://hipermarfish.com/public/images/productos/EOXW080320221042_400.jpg,https://hipermarfish.com/market/productos/arroces-y-harinas
Algas Golden x 100 Hojas X Unidad ,ALGAS Y DESHIDRATADOS,$ 53.000                          ,https://hipermarfish.com/public/images/productos/ANDO102620230358_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Algas Silver x 100 Hojas X Unidad ,ALGAS Y DESHIDRATADOS,$ 49.000                          ,https://hipermarfish.com/public/images/productos/FQPK102620230359_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Algas Blue x 100 Hojas X Unidad ,ALGAS Y DESHIDRATADOS,$ 45.000                          ,https://hipermarfish.com/public/images/productos/BFOI102620230359_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Algas Golden x 50 Hojas X Paquete x 50 u ,ALGAS Y DESHIDRATADOS,$ 36.800                          ,https://hipermarfish.com/public/images/productos/XQCM021020220322_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Algas x 10 Hojas X Paquete x 10 u ,ALGAS Y DESHIDRATADOS,$ 11.100                          ,https://hipermarfish.com/public/images/productos/NMJT020820200852_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Ajonjolí Negro Roland 454 g X Unidad x 454 g ,ALGAS Y DESHIDRATADOS,$ 49.800                          ,https://hipermarfish.com/public/images/productos/ZLEF021020220310_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Ajonjolí Negro Tassya 500 g X Unidad x 500 g ,ALGAS Y DESHIDRATADOS,$ 27.200                          ,https://hipermarfish.com/public/images/productos/ESYG030220230417_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Ajonjolí Negro 226 g X Unidad x 226 g ,ALGAS Y DESHIDRATADOS,$ 30.200                          ,https://hipermarfish.com/public/images/productos/IQPV021020220311_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Ajonjolí Negro 117 g X Unidad x 117 g ,ALGAS Y DESHIDRATADOS,$ 24.300                          ,https://hipermarfish.com/public/images/productos/JNOK021020220311_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Ajonjolí Blanco 500 g X Unidad x 500 g ,ALGAS Y DESHIDRATADOS,$ 14.000                          ,https://hipermarfish.com/public/images/productos/UPQH111920220314_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Shiitake Hongos 250 g X Paquete x 250 g ,ALGAS Y DESHIDRATADOS,$ 37.600                          ,https://hipermarfish.com/public/images/productos/B5A2966_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Wakame Tassya 250  g X Unidad x 250 g ,ALGAS Y DESHIDRATADOS,$ 24.500                          ,https://hipermarfish.com/public/images/productos/TUTW121920191006_400.jpg,https://hipermarfish.com/market/productos/algas-y-deshidratados
Agua de Coco con Pulpa 500 ml X Lata x 500 ml ,BEBIDAS Y LICORES,$ 7.500                          ,https://hipermarfish.com/public/images/productos/DZBK052520230818_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
Cerveza Tsingtao Botella 640 ml X Botella x 640 ml ,BEBIDAS Y LICORES,$ 15.700                          ,https://hipermarfish.com/public/images/productos/LPAK110920200506_400.jpg,https://hipermarfish.com/market/productos/bebidas-y-licores
